cluster_id,business_name,sector,post_type,caption_text,likes_count,comments_count,views_count,engagement_rate,view_rate,CTA_present,promo_post,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style
4,Angel shop PS,Fashion,reel,"عباية ""ريفان"" 🖤 جديد وحصري بخامة حضور وتفاصيل دانتيل تشرح الكمام كلها أنوثة 🌸 الأسود اللي بجمل كل مناسباتك 💜 متوفر خدمة المعاينة عند الاستلام ✅",227.0,40,55000,0.0190714286,3.9285714286,1,1,0,0,0,1
4,Vanilla Palestine,Cafes/Restaurants,reel,تناغم عجيب للنكهات اللذيذة.. 👌🍰 جربوا الآن سان ميسو تشيزكيك الجديدة من فانيلا 😍 #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم,750.0,750,702000,0.0171821306,8.0412371134,1,1,0,0,0,1
4,Hulk Gym / Diaa Shabaro,Gym,reel,حلقة الدكتور حسن جاهزة باليوتيوب ورابط القناة بالبايو بحب اسمع رأيكم 😉🔥,36.0,4,2946,0.016638935100000002,1.2254575707,1,1,0,0,0,1
4,Vanilla Palestine,Cafes/Restaurants,reel,بتشاركوهم ولا بتخلصهم لحالك؟ 🥺 Share it? Or all yours 🥺؟ فانيلا اليوم وكل يوم... #VANILLA_Today_and_everyday #vanilla #dessert #vanilla_cake,678.0,680,186000,0.0155555556,2.1305841924,1,1,0,0,0,1
4,aburob,Influencers,reel,صراحة ما توقعت هالقد يزبط 😂,77000.0,1200,2900000,0.0137192982,0.5087719298,1,1,0,0,0,1
4,Pulse Gym & Fitness,Gym,reel,🔥 بدك تتمرن صح؟ اسأل الصح 👌 Pulse Gym رح يساعدك بأسرع وأوضح إجابات من المدربين #PulseGym #AskTheCoach #GymTips #Fitlife,83.0,2,7870,0.0126000593,1.1666172547,1,1,0,0,0,1
4,Supermarket 25st,Supermarkets,reel,🔥 الجو شوب ❤️ وصار بدنا بوظة شهيه متوفرة لدينا #لوتس #كنذر #فيريرو_روشيه #اوريو #supermarket25st,106.0,6,2977,0.0116230801,0.3089456206,1,1,0,0,0,1
4,Mazaj Oriental - مزاج الشرقي,Cafes/Restaurants,reel,#فتة_غزاوية عندما تجتمع الفتة الغزاوية بطعمها الأصيل مع فخدة الجيش المتبلة على طريقة الشرقي الساحرة فلا يوجد للذة كلمات توصف. نستقبل طلباتكم الخارجية Take away غدا الجمعة من الساعة 9:00 صباحا حتى الساعة 3:00 مساء. للحجز والطلب من خلال التواصل على الأرقام التالية: 0566000650 أو 0599420500,224.0,1,747,0.0098684211,0.0327631579,1,1,0,0,0,1
4,Angel shop PS,Fashion,reel,تألقي بقطعة اللؤلؤ الراقية ✨ الاحجار عباية بياقة القميص وشك الكلوك بتصميم يجمع إلك الهيبة والنعومة ✨ متوفر خدمة معاينة عند الاستلام 🤝,103.0,20,23000,0.0087857143,1.6428571429,1,1,0,0,0,1
4,Vanilla Palestine,Cafes/Restaurants,reel,جنجر تويست 😋 مش بس تبريد.. بصحي كل خلية فيك 🍹😍 جربوه بجميع فروع فانيلا 🤩 فانيلا اليوم وكل يوم... #ginger_Twist #vanilla #جنجر_تويست,356.0,360,361000,0.0082016037,4.1351660939,1,1,0,0,0,1
