min_support,min_confidence,min_lift,max_antecedent_len,frequent_itemsets_count,valid_rules_before_filtering,final_rule_count,high_view_rate_rule_count,avg_lift,max_lift,avg_confidence,max_confidence,avg_confidence_lower_bound,max_confidence_lower_bound
0.05,0.6,1.0,2,125,215,31,0,2.6514611601809173,2.9583333333333335,0.8962685611879161,1.0,0.505213254144413,0.6755843804891231
0.05,0.6,1.2,2,125,215,31,0,2.6514611601809173,2.9583333333333335,0.8962685611879161,1.0,0.505213254144413,0.6755843804891231
0.05,0.6,1.5,2,125,215,31,0,2.6514611601809173,2.9583333333333335,0.8962685611879161,1.0,0.505213254144413,0.6755843804891231
0.05,0.6,2.0,2,125,215,31,0,2.6514611601809173,2.9583333333333335,0.8962685611879161,1.0,0.505213254144413,0.6755843804891231
0.05,0.5,1.0,1,69,59,8,0,2.387870990410053,2.5885416666666665,0.8071676587301587,0.8749999999999999,0.48467294384410986,0.5699064013154177
0.05,0.5,1.2,1,69,59,8,0,2.387870990410053,2.5885416666666665,0.8071676587301587,0.8749999999999999,0.48467294384410986,0.5699064013154177
0.05,0.5,1.5,1,69,59,8,0,2.387870990410053,2.5885416666666665,0.8071676587301587,0.8749999999999999,0.48467294384410986,0.5699064013154177
0.05,0.4,2.0,1,69,66,7,0,2.4942070578231292,2.5885416666666665,0.8431122448979593,0.8749999999999999,0.5057461223529088,0.5699064013154177
0.05,0.5,2.0,1,69,59,7,0,2.4942070578231292,2.5885416666666665,0.8431122448979593,0.8749999999999999,0.5057461223529088,0.5699064013154177
0.05,0.6,1.0,1,69,44,7,0,2.4942070578231292,2.5885416666666665,0.8431122448979593,0.8749999999999999,0.5057461223529088,0.5699064013154177
0.05,0.6,1.2,1,69,44,7,0,2.4942070578231292,2.5885416666666665,0.8431122448979593,0.8749999999999999,0.5057461223529088,0.5699064013154177
0.05,0.6,1.5,1,69,44,7,0,2.4942070578231292,2.5885416666666665,0.8431122448979593,0.8749999999999999,0.5057461223529088,0.5699064013154177
0.05,0.6,2.0,1,69,44,7,0,2.4942070578231292,2.5885416666666665,0.8431122448979593,0.8749999999999999,0.5057461223529088,0.5699064013154177
